FunctionSignature(Configuration::GetValue,1):7 - ClassDefinition(Configuration,sando\Configuration\Configuration\Configuration\Configuration.cs):5
ConstructorSignature(SandoOptions::SandoOptions,2):8 - ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6
FunctionSignature(SandoOptions::get,0):20 - ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6
FunctionSignature(SandoOptions::set,0):20 - ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6
FunctionSignature(SandoOptions::get,0):21 - ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6
FunctionSignature(SandoOptions::set,0):21 - ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6
ConstructorSignature(SandoOptionsControl::SandoOptionsControl,0):30 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::Dispose,1):44 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::InitializeComponent,0):68 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::get,0):178 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::set,0):182 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::get,0):190 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::set,0):194 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::get,0):202 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::set,0):206 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::ExtensionPointsPluginDirectoryPathButton_Click,2):214 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
FunctionSignature(SandoOptionsControl::SearchResultsConfigurationNumberOfResultsReturnedTextBox_TextChanged,2):228 - ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7
ConstructorSignature(CppUnresolvedMethodElement::CppUnresolvedMethodElement,10):9 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::TryResolve,2):22 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::ResolveClassId,3):37 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::ResolveAccessType,3):52 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::get,0):68 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::set,0):68 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::get,0):69 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::set,0):69 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::get,0):70 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
FunctionSignature(CppUnresolvedMethodElement::set,0):70 - ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7
ConstructorSignature(MethodElement::MethodElement,12):8 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):29 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):29 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):30 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):30 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):31 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):31 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):32 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):32 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):33 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):33 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):34 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):34 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):35 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):35 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::get,0):36 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
FunctionSignature(MethodElement::set,0):36 - ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6
