class_name, cluster_id
JInsetPanel,1
UserEditableUtils,2
BoxReshapeHandleLogic,2
BNACompositeEventHandler,2
DragMoveEvent,2
GridUtils,2
SplineEssenceThing,2
BNAUtils,2
RotaterThing,2
BNARenderingSettings,2
DefaultCoordinateMapper,2
RectangleEssenceThing,2
RoundedRectangleEssenceThing,2
TagThing,2
ActorAssembly,2
SplineAssembly,2
MaintainStickyPointLogic,2
ArrowheadThing,2
BidirectionalHashMap,3
WeakValueMap,3
SchemaLocationMap,3
SystemUtils,3
ApiGen,3
ExpandedName,3
SchemaProcessingException,3
BooleanEvalImpl,3
EObjectInspector,3
FolderNodeLabelProvider,4
JavaPackageAction,4
XArchFlatEvent,4
ProjectJETBundleProvider,4
ChangeSetsDisplayLabelProvider,4
HasObjRefUtil,4
TagLibraryReferenceImpl,4
RotateTagsLogic,4
AbstractAIMMyxComponent,4
AbstractCaseShiftTag,4
TypeDialogCellEditor,4
LauncherMyxComponent,4
Hints3Context,4
LoadTag,4
JET2AST,4
BasicSWTPropertyCoder,4
JET1JavaGenerator,4
TypesNewTypeSetContextMenuFiller,4
MyxBasicWeld,4
ExcludingFilenameFilter,4
VariantComponentTypeImplVersImpl,4
ModelInspectorsManager,4
RenderingHintsImpl,4
Gt,4
JET2Context,4
XadlSWTUtils,4
JMergeProcessor,4
BoxGlassThing,4
ReportsViewTest,4
LJMExample,4
SWTXadlSelectorThingPeer,4
DefaultBNAWorld,4
ImpliedImportTag,4
BooleanNotationMyxComponent,4
ContentProperties,4
JETBundleManifest,4
AbstractSWTControlThingPeer,4
AbstractWorkspaceAction2,4
MyxJavaClassInterfaceDescription,4
MyExtendedMetaData,4
TypesEditorFocuser,4
SignatureServiceSimpleTypeImpl,4
SelectorDriverMyxComponent,4
PropertiesInspector,4
ObscuredGraphics,4
RawLocationURIAttribute,4
BPGreaterNode,4
AbstractAssembly,4
MergeNodeImpl,4
RotatingOffsetIncrementer,4
XArchDetachMyxComponent,4
RuntimeLoggerContextExtender,4
InspectorManager,4
ArchTraceLinksImpl,4
ArchStudioPreferencePanel,4
XArchFlatUtils,4
InterfaceContentProvider,4
SyncElementHelper,4
StatechartsContext,4
MergeKey,4
DeleteRationaleAction,4
PathAssembly,4
MyxBrickLoaderException,4
BoolImpl,4
TypesRemoveContextMenuFiller,4
EMFEAttrAsElementWrapperInspector,4
ConcatFunction,4
XArchChangeSetImplDelegate,4
FollowingAxis,4
NodeAttributesTag,4
BoolguardConstants,4
TracePreferencesSelectionAdapter,4
EllipseBorderThingPeer,4
StateImpl,4
TypesEditorSupport,4
BrickTypeUpdatedEvent,4
AssemblyRootThing,4
ContextLogEntryAdapterFactory,4
StructureTypeDropLogic,4
TokenInstance,4
PrescribedComponentInstanceImpl,4
ArchlightMyxComponent,4
AddAndRelationshipAction,4
XArchSerializeException,4
DeleteSelectionAdapter,4
ComponentInstanceImpl,4
MirrorEndpointLogic,4
VersionsContext,4
InstanceContext,4
LinkDiff,4
MyxInterface,4
DescriptionImpl,4
ProjectContributor,4
BundleTag,4
IDResolver,4
StickySplineDemo,4
XArchTypeMetadata,4
JET2Builder,4
Lt,4
ArchStudio4PerspectiveFactory,4
InterfaceTypeImplVersImpl,4
ChangesetsContext,4
JETProcess,4
AndRelationshipImpl,4
SafeFunctionRuntimeTag,4
ExtensionPointLocation,4
RelativeTest,4
