method_name, cluster_id
getImageIcon,1
ApiGenGui,1
setupButtonPanel,1
getBaseTitle,1
getInsets,1
getSchemaLocationMappingPanel,1
JInsetPanel,1
getSchemaPickerPanel,1
getFinalPanel,1
setState,1
getStartPanel,1
getDirectoryPickerPanel,1
getButtonPanel,1
SchemaPickerWidget,1
SchemaLocationMappingWidget,1
DirectoryPickerWidget,1
syncExec,2
getSyncInfo,2
storeAssemblyData,2
setEvent,2
orientationForKeyCode,2
StructureTypeDropLogic,2
MirrorEndpointLogic,2
getTruename,2
compute_point,2
MirrorAnchorPointLogic,2
getBNAComposite,2
getPoint1Target,2
hasPartNames,2
MapXadlInitialStateLogic,2
removeThingLogic,2
StatelineStatechartsLogic,2
getAssemblyKind,2
fireRestoreHints,2
BrickInterfaceSelectorLogic,2
dragStart,2
getCompletionStatus,2
AbstractTypeDropLogic,2
createZoomWidget,2
getGridDisplayType,2
getRotatingOffset,2
MapXadlActorLogic,2
refreshOutsideSWTThread,2
getAntialiasGraphics,2
getProperty,2
getOnEdgeOrientation,2
getNumPoints,2
distributeVerticalTight,2
createImage,2
deepEquals,2
getLineWidth,2
createGraph,2
MapXadlNoteLogic,2
addStickyModeSpecifier,2
getAntecedentArchObj,2
removeRuntime,2
StructureNewInterfaceLogic,2
addActions,2
getDontIncreaseFontSize,2
handleThingChanged,2
setIncreaseFontSize,2
EditTextLogic,2
writeHintsForBrickType,2
hasHscroll,2
treeNodeDoubleClicked,2
createBrick,2
destroy,2
getWorldCenterX,2
getWorldCenterY,2
isBrickTypeAssemblyRootThing,2
hasPropertys,2
addFilter,2
DragMovableLogic,2
getRepository,2
getRelativeComponentHeight,2
PeerCache,2
TypesXArchEventHandlerLogic,2
drawMarquee,2
getAssembliesForContext,2
getModelBounds,2
getAllowableStickyModes,2
hasVscroll,2
getConsequentArchObj,2
sync,2
getImageDescriptor,2
MaintainInternalWorldMappingsLogic,2
writeHintsForBrick,2
AbstractMaintainThingsWithReferencePrefixLogic,2
removeReferences,2
findHintedElementRef,2
getInternalEndpoint,2
isSignatureInterfaceMappingAssemblyRootThing,2
getLineStyle,2
sendToBack,2
DefaultFindResult,2
readHintsForInterfaceType,2
distributeHorizontalLoose,2
fromName,2
removeHandles,2
TypesEditDescriptionLogic,2
EnvironmentPropertiesThing,2
StructureMapSignatureLogic,2
getSecondaryAnchorPoint,2
getSelectedIssues,2
AbstractXadlSelectorLogic,2
getImageData,2
getNumNodes,2
doEvent,2
_setupContextMenu,2
TypedThingTrackingLogic,2
createColorSwatch,2
BNAModelEvent,2
getAssembliesWithRoots,2
setAntialiasGraphics,2
getPropertyNamesWithPrefix,2
subTuple,2
PropertyHintSynchronizer,2
StructureGraphLayoutLogic,2
AddVariantLogic,2
getFirstHint,2
MapXadlNondirectionalSplineLogic,2
generateAlias,2
hasThings,2
setSelection,2
MapXadlStateLogic,2
StructureInterfaceLocationsLogic,2
getNodeId,2
getTargetThing,2
TypesTypeDropLogic,2
handleException,2
DefaultBNAView,2
isLinkAssemblyRootThing,2
disposeControl,2
getLinkRef,2
updateThingIDByXArchID,2
lineTo,2
getFontSize,2
setBounds,2
ColorSelectorDialog,2
MaintainStickyPointLogic,2
getArrowheadSize,2
getDragSourceListener,2
removeCoordinateMapperListener,2
getRelativeConnectorHeight,2
writeTarget,2
ThingEvent,2
shouldUpdateThing,2
getFontName,2
addPropertyName,2
getInitialWorldPoint,2
addType,2
getAllAssemblies,2
getRelativeComponentWidth,2
getWorldY,2
getWorldX,2
TypesEditColorLogic,2
HighlightChangesInChangeSetViewLogic,2
removedObjRef,2
setDecorativeGraphics,2
getID,2
getThingsReferencing,2
layoutGraph,2
MoveWithLogic,2
getImagePath,2
WorldThingExternalEventsLogic,2
acceptDrop,2
getLife,2
getLinkRootThing,2
setEdgeId,2
getContentProviderFlags,2
hasPropertyPartNames,2
getPoint2Target,2
getOnLineSegmentOrientation,2
addBNAModelListener,2
update,2
getBNAWorld,2
chooseAndAssignColor,2
getThingLogicManager,2
getAlias,2
handle,2
writeHintsForInterface,2
addListeners,2
writeHintsForInterfaceType,2
drop,2
isReferenceName,2
clearEditor,2
TypesCreateSIMLogic,2
getListeners,2
getNodeAt,2
isInterfaceTypeAssemblyRootThing,2
BNAPath,2
setRelativeConnectorHeight,2
MapXadlDirectionalSplineLogic,2
getColor,2
getInternalEndpointWorldThingID,2
TypesAssignStructureLogic,2
isInvalidNativeType,2
initPanelProviders,2
createUnitX,2
getArchObj,2
FindDialog,2
getTextLayout,2
MaintainXadlLinksLogic,2
moveTo,2
getVerticalAlignment,2
clearWorld,2
SnapToGridLogic,2
setScale,2
EditOptionalLogic,2
getMinimumHeight,2
ignoreBNAChanges,2
nulleq,2
MyxCodeGenAction,2
TypesRemoveLogic,2
MaintainAnchoredAssemblyOrientationLogic,2
getAncestorThings,2
initPresets,2
_unselectAll,2
StatelineStructureLogic,2
SplineReshapeHandleLogic,2
createViewer,2
event,2
AbstractEditGuardLogic,2
isScaled,2
removeListeners,2
getSelectionID,2
blend,2
MyDialog,2
handleArchipelagoEvent,2
AnnotateExplicitChangeLogic,2
EditVariantsLogic,2
sendEventToInnerViews,2
writeHintsForSignature,2
getNumThings,2
addSynchronousLockedBNAModelListener,2
getParentThing,2
FindDialogLogic,2
StickyMode,2
GraphLayoutException,2
setRelativeComponentWidth,2
getHeight,2
updateViewer,2
processOutput,2
ClickSelectionLogic,2
createUnitPlus,2
StructureEditDirectionLogic,2
getCornerWidth,2
simpleName,2
setupHexButton,2
isConnectorAssemblyRootThing,2
SWTBNASynchLogic,2
getElementCount,2
shouldUpdateControl,2
setRelativeConnectorWidth,2
updateEditor,2
disposeViewer,2
bspline,2
fireThingEvent,2
XadlSelectionProviderLogic,2
TypesNewSignatureLogic,2
TextLayoutCache,2
handleEvent,2
loadImages,2
async,2
setAlignment,2
AlignAndDistributeLogic,2
changedObjRef,2
SyncInfo,2
ActivityDiagramsEditorContextMenuAddDiagramLogic,2
setFont,2
getArrowheadShape,2
getDefaultEditor,2
addReferences,2
automapLinkPointsToSplineEndpoints,2
getPartPath,2
getAllowsArbitraryInput,2
optimizePoints,2
getSignatureInterfaceMappingAssembly,2
getAllLayoutEngines,2
DataValidationException,2
getShell,2
getDontMoveInterfaces,2
BoxReshapeHandleLogic,2
XadlRemoveElementLogic,2
updateFromSourceTargetIds,2
resourceUtilsFor,2
addThingLogic,2
AbstractMaintainThingsWithReferenceNameLogic,2
DefaultThingLogicManager,2
ReferenceTrackingLogic,2
getLock,2
MaintainTagsLogic,2
StructureNewElementLogic,2
TypesStructureDropLogic,2
GridUtils,2
RotatingOffsetLogic,2
setParentComposite,2
getThingIterator,2
isComponentAssemblyRootThing,2
disposeResources,2
MouseWheelZoomingLogic,2
getSecondaryColor,2
getFlow,2
updateLayoutComposite,2
getInterfaceRef,2
processUpdate,2
getDevice,2
isEditing,2
getIndicatorPoint,2
AssemblyTrackingLogic,2
redraw,2
getEngineIDs,2
getThingLogics,2
updateConnectorType,2
storeParameters,2
getStreamNotification,2
ObjRef,2
AbstractMaintainThingsLogic,2
getBrickRef,2
distributeHorizontalTight,2
createGraphParameters,2
MapXadlForkJoinLogic,2
getAssembliesWithParts,2
getBrickAssembly,2
addCoordinateMapperListener,2
getResources,2
drawFakeLines,2
getValuesToThingsMap,2
isModelModifyingEvent,2
isInterfaceAssemblyRootThing,2
calculateSizes,2
dropAccept,2
getActions,2
FindResultData,2
getDontRouteLinks,2
GraphLayoutDialog,2
ThingLogicManagerEvent,2
isEditorRegistered,2
GraphLayout,2
addEdge,2
fireThingChanged,2
SimpleRulePart,2
addSynchronousBNAModelListener,2
bnaModelChanged,2
LifeSapperLogic,2
getAllThingLogics,2
getNextLowestZoomValue,2
ExportBitmapLogic,2
ActivityDiagramTraverseToRefMenuLogic2,2
readHintsForStructure,2
MapXadlReferenceLogic,2
autoSizeColumns,2
dragOperationChanged,2
getBrickLabelList,2
TypesRemoveDeadSIMLogic,2
initScrolling,2
addBNAPathMapping,2
setFontToRender,2
isArrowheadFilled,2
getPeerClass,2
getHintNames,2
RequiredAttributeFilter,2
getStuckInfoHintNames,2
addTagsOnlyPrefixMapping,2
fireRepositoryChanged,2
scale,2
AbstractEditDescriptionLogic,2
unmirrorValue,2
AliasTable,2
doLayoutInJob,2
GraphLayoutParameters,2
calculateOffsets,2
setAntialiasText,2
innerWorldAdded,2
saveAsPPT,2
getConsequentParameters,2
MapXadlSplineLogic,2
isGradientFilled,2
DefaultBNAModel,2
getRelativeConnectorWidth,2
createPeer,2
getHint,2
getSignatureInterfaceMappingRef,2
appendChildren,2
getNextHighestZoomValue,2
setupEditor,2
getDecorativeGraphics,2
ExternalBrickSelectorLogic,2
StatechartsNewElementLogic,2
setupContextMenu,2
isSelected,2
getSignatureAssembly,2
parseBooleanGuard,2
addZoomWidget,2
PromoteToVariantLogic,2
updateWorldThing,2
repositoryChanged,2
pulseNotify,2
getFontStyle,2
nativeToJava,2
matchingThing,2
getDataFromSelection,2
AlignSignatureInterfaceMappingsLogic,2
updateReference,2
getMinimumWidth,2
getLinkAssembly,2
setupWorld,2
DefaultBNAWorld,2
chooseAndAssignDiagram,2
selected,2
SizeHint,2
stopScanning,2
removeThingListener,2
doLayout,2
processAdd,2
MirrorBoundingBoxLogic,2
setupTopWorld,2
StructureEditColorLogic,2
DynamicTuple,2
