class_name, cluster_id
ClassDefinition(HandlerBase,jedit_4.3\jEdit\com\microstar\xml\HandlerBase.java):42,1
ClassDefinition(XmlException,jedit_4.3\jEdit\com\microstar\xml\XmlException.java):23,1
ClassDefinition(XmlHandler,jedit_4.3\jEdit\com\microstar\xml\XmlHandler.java):25,1
ClassDefinition(Ar,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\Ar.java):26,1
ClassDefinition(ArFileSet,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\Ar.java):290,1
ClassDefinition(ArLongFileMode,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\Ar.java):401,1
ClassDefinition(ArConstants,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\ArConstants.java):7,1
ClassDefinition(ArEntry,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\ArEntry.java):48,1
ClassDefinition(ArOutputStream,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\ArOutputStream.java):12,1
ClassDefinition(ArUtils,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\ar\ArUtils.java):6,1
ClassDefinition(CalculateSize,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\calculatesize\CalculateSize.java):15,1
ClassDefinition(Deb,jedit_4.3\jEdit\de\masters_of_disaster\ant\tasks\deb\Deb.java):28,1
ClassDefinition(GenerateTocXML,jedit_4.3\jEdit\doclet\GenerateTocXML.java):28,1
ClassDefinition(BZip2Constants,jedit_4.3\jEdit\installer\BZip2Constants.java):16,1
ClassDefinition(StackElem,jedit_4.3\jEdit\installer\CBZip2OutputStream.java):2014,1
ClassDefinition(ConsoleInstall,jedit_4.3\jEdit\installer\ConsoleInstall.java):22,1
ClassDefinition(ConsoleProgress,jedit_4.3\jEdit\installer\ConsoleProgress.java):19,1
ClassDefinition(CRC,jedit_4.3\jEdit\installer\CRC.java):16,1
ClassDefinition(InstallThread,jedit_4.3\jEdit\installer\InstallThread.java):22,1
ClassDefinition(InvalidHeaderException,jedit_4.3\jEdit\installer\InvalidHeaderException.java):25,1
ClassDefinition(NonInteractiveInstall,jedit_4.3\jEdit\installer\NonInteractiveInstall.java):21,1
ClassDefinition(OSTask,jedit_4.3\jEdit\installer\OperatingSystem.java):27,1
ClassDefinition(Unix,jedit_4.3\jEdit\installer\OperatingSystem.java):122,1
ClassDefinition(ScriptOSTask,jedit_4.3\jEdit\installer\OperatingSystem.java):140,1
ClassDefinition(ManPageOSTask,jedit_4.3\jEdit\installer\OperatingSystem.java):212,1
ClassDefinition(MacOS,jedit_4.3\jEdit\installer\OperatingSystem.java):280,1
ClassDefinition(Windows,jedit_4.3\jEdit\installer\OperatingSystem.java):293,1
ClassDefinition(JEditLauncherOSTask,jedit_4.3\jEdit\installer\OperatingSystem.java):310,1
ClassDefinition(HalfAnOS,jedit_4.3\jEdit\installer\OperatingSystem.java):358,1
ClassDefinition(VMS,jedit_4.3\jEdit\installer\OperatingSystem.java):366,1
ClassDefinition(Progress,jedit_4.3\jEdit\installer\Progress.java):20,1
ClassDefinition(ServerKiller,jedit_4.3\jEdit\installer\ServerKiller.java):40,1
ClassDefinition(SwingInstall,jedit_4.3\jEdit\installer\SwingInstall.java):28,1
ClassDefinition(WizardLayout,jedit_4.3\jEdit\installer\SwingInstall.java):246,1
ClassDefinition(TextPanel,jedit_4.3\jEdit\installer\SwingInstall.java):333,1
ClassDefinition(DirVerifier,jedit_4.3\jEdit\installer\SwingInstall.java):362,1
ClassDefinition(ChooseDirectory,jedit_4.3\jEdit\installer\SwingInstall.java):491,1
ClassDefinition(SelectComponents,jedit_4.3\jEdit\installer\SwingInstall.java):612,1
ClassDefinition(SwingProgress,jedit_4.3\jEdit\installer\SwingInstall.java):695,1
ClassDefinition(TarBuffer,jedit_4.3\jEdit\installer\TarBuffer.java):38,1
ClassDefinition(TarEntry,jedit_4.3\jEdit\installer\TarEntry.java):74,1
ClassDefinition(TarHeader,jedit_4.3\jEdit\installer\TarHeader.java):23,1
ClassDefinition(TarInputStream,jedit_4.3\jEdit\installer\TarInputStream.java):36,1
ClassDefinition(EntryFactory,jedit_4.3\jEdit\installer\TarInputStream.java):477,1
ClassDefinition(EntryAdapter,jedit_4.3\jEdit\installer\TarInputStream.java):492,1
ClassDefinition(TarOutputStream,jedit_4.3\jEdit\installer\TarOutputStream.java):36,1
ClassDefinition(LatestVersionPlugin,jedit_4.3\jEdit\jars\LatestVersion\LatestVersionPlugin.java):25,1
ClassDefinition(MacOSXPlugin,jedit_4.3\jEdit\jars\MacOSX\macosx\MacOSXPlugin.java):38,1
ClassDefinition(OSXAdapter,jedit_4.3\jEdit\jars\MacOSX\macosx\OSXAdapter.java):41,1
ClassDefinition(QuickNotepad,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepad.java):58,1
ClassDefinition(QuickNotepadActions,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepadActions.java):24,1
ClassDefinition(QuickNotepadOptionPane,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepadOptionPane.java):40,1
ClassDefinition(QuickNotepadPlugin,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepadPlugin.java):31,1
ClassDefinition(QuickNotepadTextArea,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepadTextArea.java):26,1
ClassDefinition(QuickNotepadToolPanel,jedit_4.3\jEdit\jars\QuickNotepad\QuickNotepadToolPanel.java):37,1
ClassDefinition(AppBundleProperties,jedit_4.3\jEdit\net\sourceforge\jarbundler\AppBundleProperties.java):33,1
ClassDefinition(DocumentType,jedit_4.3\jEdit\net\sourceforge\jarbundler\DocumentType.java):65,1
ClassDefinition(HelpBook,jedit_4.3\jEdit\net\sourceforge\jarbundler\HelpBook.java):14,1
ClassDefinition(JarBundler,jedit_4.3\jEdit\net\sourceforge\jarbundler\JarBundler.java):256,1
ClassDefinition(JavaProperty,jedit_4.3\jEdit\net\sourceforge\jarbundler\JavaProperty.java):3,1
ClassDefinition(PropertyListWriter,jedit_4.3\jEdit\net\sourceforge\jarbundler\PropertyListWriter.java):78,1
ClassDefinition(Service,jedit_4.3\jEdit\net\sourceforge\jarbundler\Service.java):59,1
ClassDefinition(Abbrevs,jedit_4.3\jEdit\org\gjt\sp\jedit\Abbrevs.java):38,1
ClassDefinition(Expansion,jedit_4.3\jEdit\org\gjt\sp\jedit\Abbrevs.java):514,1
ClassDefinition(AbstractOptionPane,jedit_4.3\jEdit\org\gjt\sp\jedit\AbstractOptionPane.java):63,1
ClassDefinition(ActionContext,jedit_4.3\jEdit\org\gjt\sp\jedit\ActionContext.java):40,1
ClassDefinition(ActionListHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\ActionListHandler.java):41,1
ClassDefinition(ActionSet,jedit_4.3\jEdit\org\gjt\sp\jedit\ActionSet.java):144,1
ClassDefinition(Autosave,jedit_4.3\jEdit\org\gjt\sp\jedit\Autosave.java):36,1
ClassDefinition(BeanShell,jedit_4.3\jEdit\org\gjt\sp\jedit\BeanShell.java):55,1
ClassDefinition(BeanShellAction,jedit_4.3\jEdit\org\gjt\sp\jedit\BeanShellAction.java):44,1
ClassDefinition(CachedBshMethod,jedit_4.3\jEdit\org\gjt\sp\jedit\BeanShellAction.java):169,1
ClassDefinition(BeanShellFacade<T>,jedit_4.3\jEdit\org\gjt\sp\jedit\BeanShellFacade.java):46,1
ClassDefinition(Buffer,jedit_4.3\jEdit\org\gjt\sp\jedit\Buffer.java):89,1
ClassDefinition(BufferHistory,jedit_4.3\jEdit\org\gjt\sp\jedit\BufferHistory.java):45,1
ClassDefinition(RecentHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\BufferHistory.java):410,1
ClassDefinition(Debug,jedit_4.3\jEdit\org\gjt\sp\jedit\Debug.java):32,1
ClassDefinition(EBComponent,jedit_4.3\jEdit\org\gjt\sp\jedit\EBComponent.java):34,1
ClassDefinition(EBMessage,jedit_4.3\jEdit\org\gjt\sp\jedit\EBMessage.java):41,1
ClassDefinition(EBPlugin,jedit_4.3\jEdit\org\gjt\sp\jedit\EBPlugin.java):36,1
ClassDefinition(EditAction,jedit_4.3\jEdit\org\gjt\sp\jedit\EditAction.java):42,1
ClassDefinition(Wrapper,jedit_4.3\jEdit\org\gjt\sp\jedit\EditAction.java):188,1
ClassDefinition(EditBus,jedit_4.3\jEdit\org\gjt\sp\jedit\EditBus.java):82,1
ClassDefinition(EBMessageHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\EditBus.java):265,1
