method_name, cluster_id
FunctionSignature(HandlerBase::startDocument:0):50,1
FunctionSignature(HandlerBase::endDocument:0):61,1
FunctionSignature(HandlerBase::resolveEntity:2):73,1
FunctionSignature(HandlerBase::startExternalEntity:1):86,1
FunctionSignature(HandlerBase::endExternalEntity:1):97,1
FunctionSignature(HandlerBase::doctypeDecl:3):108,1
FunctionSignature(HandlerBase::attribute:3):119,1
FunctionSignature(HandlerBase::startElement:1):130,1
FunctionSignature(HandlerBase::endElement:1):141,1
FunctionSignature(HandlerBase::processingInstruction:2):174,1
FunctionSignature(HandlerBase::error:4):186,1
ConstructorSignature(XmlException::XmlException:4):38,1
FunctionSignature(XmlException::getMessage:0):51,1
FunctionSignature(XmlException::getSystemId:0):61,1
FunctionSignature(XmlException::getLine:0):71,1
FunctionSignature(XmlException::getColumn:0):80,1
FunctionSignature(XmlParser::popInput:0):3589,1
FunctionSignature(XmlParser::encodingError:3):4185,1
FunctionSignature(Ar::createArFileSet:0):43,1
FunctionSignature(Ar::setDestFile:1):54,1
FunctionSignature(Ar::setBasedir:1):62,1
FunctionSignature(Ar::setLongfile:1):81,1
FunctionSignature(Ar::execute:0):89,1
FunctionSignature(Ar::arFile:3):205,1
FunctionSignature(Ar::archiveIsUpToDate:2):279,1
ConstructorSignature(ArFileSet::ArFileSet:1):304,1
ConstructorSignature(ArFileSet::ArFileSet:0):312,1
FunctionSignature(ArFileSet::getFiles:1):322,1
FunctionSignature(ArFileSet::setMode:1):337,1
FunctionSignature(ArFileSet::getMode:0):345,1
FunctionSignature(ArFileSet::setUid:1):353,1
FunctionSignature(ArFileSet::getUid:0):360,1
FunctionSignature(ArFileSet::setGid:1):368,1
FunctionSignature(ArFileSet::getGid:0):375,1
FunctionSignature(ArFileSet::setFullpath:1):386,1
FunctionSignature(ArFileSet::getFullpath:0):393,1
ConstructorSignature(ArLongFileMode::ArLongFileMode:0):414,1
FunctionSignature(ArLongFileMode::getValues:0):422,1
FunctionSignature(ArLongFileMode::isTruncateMode:0):429,1
FunctionSignature(ArLongFileMode::isWarnMode:0):436,1
FunctionSignature(ArLongFileMode::isGnuMode:0):443,1
FunctionSignature(ArLongFileMode::isBsdMode:0):450,1
FunctionSignature(ArLongFileMode::isFailMode:0):457,1
FunctionSignature(ArLongFileMode::isOmitMode:0):464,1
ConstructorSignature(ArEntry::ArEntry:0):82,1
ConstructorSignature(ArEntry::ArEntry:1):96,1
ConstructorSignature(ArEntry::ArEntry:1):115,1
ConstructorSignature(ArEntry::ArEntry:1):133,1
FunctionSignature(ArEntry::equals:1):145,1
FunctionSignature(ArEntry::equals:1):156,1
FunctionSignature(ArEntry::hashCode:0):168,1
FunctionSignature(ArEntry::getFilename:0):177,1
FunctionSignature(ArEntry::setFilename:1):186,1
FunctionSignature(ArEntry::setMode:1):195,1
FunctionSignature(ArEntry::getUserId:0):204,1
FunctionSignature(ArEntry::setUserId:1):213,1
FunctionSignature(ArEntry::getGroupId:0):222,1
FunctionSignature(ArEntry::setGroupId:1):231,1
FunctionSignature(ArEntry::setIds:2):241,1
FunctionSignature(ArEntry::setFileDate:1):252,1
FunctionSignature(ArEntry::setFileDate:1):261,1
