class_name, cluster_id
ClassDefinition(Configuration,sando\Configuration\Configuration\Configuration\Configuration.cs):5,5
ClassDefinition(SandoOptions,sando\Configuration\Configuration\OptionsPages\SandoOptions.cs):6,5
ClassDefinition(SandoOptionsControl,sando\Configuration\Configuration\OptionsPages\SandoOptionsControl.cs):7,5
ClassDefinition(CppUnresolvedMethodElement,sando\Core\Core\CppUnresolvedMethodElement.cs):7,5
ClassDefinition(MethodElement,sando\Core\Core\MethodElement.cs):6,5
ClassDefinition(SolutionKey,sando\Core\Core\SolutionKey.cs):6,5
ClassDefinition(SandoException,sando\Core\Core\Exceptions\SandoException.cs):6,5
ClassDefinition(ExtensionPointsRepository,sando\Core\Core\Extensions\ExtensionPointsRepository.cs):12,5
ClassDefinition(BaseExtensionPointConfiguration,sando\Core\Core\Extensions\Configuration\BaseExtensionPointConfiguration.cs):3,5
ClassDefinition(ExtensionPointsConfiguration,sando\Core\Core\Extensions\Configuration\ExtensionPointsConfiguration.cs):5,5
ClassDefinition(ExtensionPointsConfigurationAnalyzer,sando\Core\Core\Extensions\Configuration\ExtensionPointsConfigurationAnalyzer.cs):14,5
ClassDefinition(ExtensionPointsConfigurationFileReader,sando\Core\Core\Extensions\Configuration\ExtensionPointsConfigurationFileReader.cs):9,5
ClassDefinition(ParserExtensionPointsConfiguration,sando\Core\Core\Extensions\Configuration\ParserExtensionPointsConfiguration.cs):5,5
ClassDefinition(ExceptionFormatter,sando\Core\Core\Extensions\Logging\ExceptionFormatter.cs):5,5
ClassDefinition(FileLogger,sando\Core\Core\Extensions\Logging\FileLogger.cs):11,5
ClassDefinition(WordSplitter,sando\Core\Core\Tools\WordSplitter.cs):10,5
ClassDefinition(PaiceStemmer,sando\ExperimentalExtensions\PaiceStemmer\PaiceStemmer.cs):12,5
ClassDefinition(PaiceStemmerExtension,sando\ExperimentalExtensions\PaiceStemmer\PaiceStemmerExtension.cs):12,5
ClassDefinition(PaiceStemmerTest,sando\ExperimentalExtensions\PaiceStemmer\PaiceStemmerTest.cs):9,5
ClassDefinition(RelevanceFeedbackExtension,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RelevanceFeedbackExtension.cs):23,5
ClassDefinition(IMetric,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):12,5
ClassDefinition(ContractForIMetric,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):18,5
ClassDefinition(TopOfFile,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):33,5
ClassDefinition(OriginalSandoRank,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):44,5
ClassDefinition(QueryFileNameCosine,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):52,5
ClassDefinition(QueryElementNameCosine,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):65,5
ClassDefinition(QuerySnippetCosine,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):82,5
ClassDefinition(Method_QueryArgsCosine,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):99,5
ClassDefinition(Method_QueryClassNameCosine,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):120,5
ClassDefinition(IsMethod,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):141,5
ClassDefinition(IsComment,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):160,5
ClassDefinition(MetricUtils,sando\ExperimentalExtensions\RelevanceFeedbackExtension\RFMetrics.cs):177,5
