method_name, cluster_id
FunctionSignature(IVsSolutionEvents::OnAfterCloseSolution:1):41,1
FunctionSignature(IVsSolutionEvents::OnBeforeUnloadProject:2):71,2
FunctionSignature(PrintSwumCache:1):216,3
FunctionSignature(IVsSolutionEvents::OnBeforeCloseProject:2):61,3
FunctionSignature(IVsSolutionEvents::OnAfterOpenProject:2):51,4
FunctionSignature(IVsSolutionEvents::OnQueryCloseSolution:2):81,4
FunctionSignature(Configuration::GetValue:1):7,5
ConstructorSignature(SandoOptions::SandoOptions:2):8,5
FunctionSignature(SandoOptions::get:0):20,5
FunctionSignature(SandoOptions::set:0):20,5
FunctionSignature(SandoOptions::get:0):21,5
FunctionSignature(SandoOptions::set:0):21,5
ConstructorSignature(SandoOptionsControl::SandoOptionsControl:0):30,5
FunctionSignature(SandoOptionsControl::Dispose:1):44,5
FunctionSignature(SandoOptionsControl::InitializeComponent:0):68,5
FunctionSignature(SandoOptionsControl::get:0):178,5
FunctionSignature(SandoOptionsControl::set:0):182,5
FunctionSignature(SandoOptionsControl::get:0):190,5
FunctionSignature(SandoOptionsControl::set:0):194,5
FunctionSignature(SandoOptionsControl::get:0):202,5
FunctionSignature(SandoOptionsControl::set:0):206,5
FunctionSignature(SandoOptionsControl::ExtensionPointsPluginDirectoryPathButton_Click:2):214,5
FunctionSignature(SandoOptionsControl::SearchResultsConfigurationNumberOfResultsReturnedTextBox_TextChanged:2):228,5
ConstructorSignature(CppUnresolvedMethodElement::CppUnresolvedMethodElement:10):9,5
FunctionSignature(CppUnresolvedMethodElement::TryResolve:2):22,5
FunctionSignature(CppUnresolvedMethodElement::ResolveClassId:3):37,5
FunctionSignature(CppUnresolvedMethodElement::ResolveAccessType:3):52,5
FunctionSignature(CppUnresolvedMethodElement::get:0):68,5
FunctionSignature(CppUnresolvedMethodElement::set:0):68,5
FunctionSignature(CppUnresolvedMethodElement::get:0):69,5
FunctionSignature(CppUnresolvedMethodElement::set:0):69,5
FunctionSignature(CppUnresolvedMethodElement::get:0):70,5
FunctionSignature(CppUnresolvedMethodElement::set:0):70,5
ConstructorSignature(MethodElement::MethodElement:12):8,5
FunctionSignature(MethodElement::get:0):29,5
FunctionSignature(MethodElement::set:0):29,5
FunctionSignature(MethodElement::get:0):30,5
FunctionSignature(MethodElement::set:0):30,5
FunctionSignature(MethodElement::get:0):31,5
FunctionSignature(MethodElement::set:0):31,5
FunctionSignature(MethodElement::get:0):32,5
FunctionSignature(MethodElement::set:0):32,5
FunctionSignature(MethodElement::get:0):33,5
FunctionSignature(MethodElement::set:0):33,5
FunctionSignature(MethodElement::get:0):34,5
FunctionSignature(MethodElement::set:0):34,5
FunctionSignature(MethodElement::get:0):35,5
FunctionSignature(MethodElement::set:0):35,5
FunctionSignature(MethodElement::get:0):36,5
FunctionSignature(MethodElement::set:0):36,5
FunctionSignature(MethodElement::get:0):37,5
ConstructorSignature(SolutionKey::SolutionKey:3):8,5
FunctionSignature(SolutionKey::GetSolutionId:0):20,5
FunctionSignature(SolutionKey::GetIndexPath:0):25,5
FunctionSignature(SolutionKey::GetSolutionPath:0):30,5
ConstructorSignature(SandoException::SandoException:2):8,5
ConstructorSignature(SandoException::SandoException:3):13,5
ConstructorSignature(SandoException::SandoException:3):18,5
FunctionSignature(ExtensionPointsRepository::GetParserImplementation:1):14,5
FunctionSignature(ExtensionPointsRepository::RegisterParserImplementation:2):25,5
FunctionSignature(ExtensionPointsRepository::GetWordSplitterImplementation:0):36,5
FunctionSignature(ExtensionPointsRepository::RegisterWordSplitterImplementation:1):41,5
FunctionSignature(ExtensionPointsRepository::GetResultsReordererImplementation:0):48,5
FunctionSignature(ExtensionPointsRepository::RegisterResultsReordererImplementation:1):53,5
FunctionSignature(ExtensionPointsRepository::GetQueryWeightsSupplierImplementation:0):60,5
FunctionSignature(ExtensionPointsRepository::RegisterQueryWeightsSupplierImplementation:1):65,5
FunctionSignature(ExtensionPointsRepository::GetQueryRewriterImplementation:0):72,5
FunctionSignature(ExtensionPointsRepository::RegisterQueryRewriterImplementation:1):77,5
FunctionSignature(ExtensionPointsRepository::ClearRepository:0):84,5
FunctionSignature(ExtensionPointsRepository::get:0):95,5
ConstructorSignature(ExtensionPointsRepository::ExtensionPointsRepository:0):105,5
FunctionSignature(BaseExtensionPointConfiguration::get:0):5,5
FunctionSignature(BaseExtensionPointConfiguration::set:0):5,5
FunctionSignature(BaseExtensionPointConfiguration::get:0):6,5
FunctionSignature(BaseExtensionPointConfiguration::set:0):6,5
FunctionSignature(ExtensionPointsConfiguration::get:0):7,5
FunctionSignature(ExtensionPointsConfiguration::set:0):7,5
FunctionSignature(ExtensionPointsConfiguration::get:0):8,5
FunctionSignature(ExtensionPointsConfiguration::set:0):8,5
FunctionSignature(ExtensionPointsConfiguration::get:0):9,5
FunctionSignature(ExtensionPointsConfiguration::set:0):9,5
FunctionSignature(ExtensionPointsConfiguration::get:0):10,5
FunctionSignature(ExtensionPointsConfiguration::set:0):10,5
FunctionSignature(ExtensionPointsConfiguration::get:0):11,5
FunctionSignature(ExtensionPointsConfiguration::set:0):11,5
FunctionSignature(ExtensionPointsConfiguration::get:0):12,5
FunctionSignature(ExtensionPointsConfiguration::set:0):12,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidExtensionPoints:2):16,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidConfigurations:2):30,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidParserConfigurations:2):44,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidWordSplitterConfiguration:2):56,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidResultsReordererConfiguration:2):65,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidQueryWeightsSupplierConfiguration:2):74,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::RemoveInvalidQueryRewriterConfiguration:2):83,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::IsConfigurationInvalid:1):92,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidParserExtensionPoints:2):97,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidWordSplitterExtensionPoints:2):118,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidResultsReordererExtensionPoints:2):139,5
