cluster_id, pattern_id, num_occurences_in_dataset, avg_time_in_secs, max_time_in_secs, min_time_in_secs, median_time_in_secs, 25pctl_time_in_secs, 75pctl_time_in_secs, number_of_messages, avg_number_of_messages_in_match
0,33646,10,31.60,85.00,5.00,30,14,53,8,8.00
0,33670,2,48.50,59.00,38.00,0,0,0,8,8.00
0,33671,70,58.83,577.00,8.00,33,25,62,8,8.00
0,33673,2,34.50,44.00,25.00,0,0,0,8,8.00
0,33678,10,58.00,201.00,20.00,51,22,85,8,8.00
0,33679,35,58.17,208.00,12.00,50,32,74,8,8.00
0,33682,12,53.33,226.00,15.00,42,26,59,8,8.00
0,33685,2,35.00,49.00,21.00,0,0,0,8,8.00
0,33686,39,46.79,587.00,7.00,27,19,42,8,8.00
0,33740,3,16.67,28.00,8.00,0,0,0,8,8.00
0,33747,146,95.19,444.00,20.00,80,48,125,8,8.00
0,33781,214,70.18,414.00,10.00,53,28,87,8,8.00
0,33785,1,38.00,38.00,38.00,0,0,0,8,8.00
0,33787,1,39.00,39.00,39.00,0,0,0,8,8.00
0,33790,2,49.00,57.00,41.00,0,0,0,8,8.00
0,33797,1,23.00,23.00,23.00,0,0,0,8,8.00
0,33830,3,218.67,505.00,39.00,0,0,0,8,8.00
0,33831,2,32.50,45.00,20.00,0,0,0,8,8.00
0,33832,11,32.73,79.00,11.00,30,17,52,8,8.00
0,33841,56,34.34,109.00,8.00,24,16,47,8,8.00
0,33860,2,483.00,876.00,90.00,0,0,0,8,8.00
0,33876,10,22.10,32.00,12.00,22,18,31,8,8.00
0,33898,8,90.00,278.00,20.00,76,35,116,8,8.00
0,33945,9,95.11,208.00,44.00,89,65,134,8,8.00
0,33960,19,112.63,599.00,20.00,82,37,145,8,8.00
0,33962,1,38.00,38.00,38.00,0,0,0,8,8.00
0,33965,1,38.00,38.00,38.00,0,0,0,8,8.00
0,33981,2,148.00,166.00,130.00,0,0,0,8,8.00
0,34006,84,56.98,217.00,10.00,39,22,76,8,8.00
0,34018,2,11.50,15.00,8.00,0,0,0,8,8.00
0,34049,4,27.00,42.00,9.00,38,19,42,8,8.00
0,34068,3,17.33,21.00,12.00,0,0,0,8,8.00
0,34096,51,58.75,372.00,9.00,38,20,79,8,8.00
0,34097,100,87.42,464.00,10.00,61,39,116,8,8.00
0,34098,38,97.61,773.00,11.00,48,31,87,8,8.00
0,34117,4,25.50,65.00,9.00,19,9,65,8,8.00
0,34122,2,253.00,326.00,180.00,0,0,0,8,8.00
0,34127,1,41.00,41.00,41.00,0,0,0,8,8.00
0,34128,3,13.00,18.00,10.00,0,0,0,8,8.00
0,34129,8,29.63,80.00,12.00,22,16,51,8,8.00
0,34141,1,469.00,469.00,469.00,0,0,0,8,8.00
0,34162,4,34.25,61.00,14.00,40,22,61,8,8.00
0,34169,5,459.00,1935.00,38.00,107,96,1935,8,8.00
0,34170,7,141.14,598.00,11.00,47,29,242,8,8.00
0,34183,7,70.29,294.00,11.00,43,30,51,8,8.00
0,34198,8,115.88,302.00,17.00,107,64,175,8,8.00
0,34218,43,53.05,200.00,10.00,51,28,66,8,8.00
0,34235,2,109.00,112.00,106.00,0,0,0,8,8.00
0,34237,2,83.00,88.00,78.00,0,0,0,8,8.00
0,34250,18,122.28,310.00,29.00,92,60,186,8,8.00
0,34251,26,150.85,622.00,12.00,92,28,277,8,8.00
0,34254,10,68.40,313.00,14.00,30,19,166,8,8.00
0,34265,4,27.75,44.00,16.00,27,24,44,8,8.00
0,34267,3,82.67,112.00,32.00,0,0,0,8,8.00
0,34288,13,74.00,375.00,10.00,23,16,51,8,8.00
0,34289,2,12.50,14.00,11.00,0,0,0,8,8.00
0,34292,1,119.00,119.00,119.00,0,0,0,8,8.00
0,34330,6,66.17,238.00,11.00,43,32,58,8,8.00
0,34332,12,22.25,42.00,8.00,20,16,32,8,8.00
0,34333,2,29.00,51.00,7.00,0,0,0,8,8.00
0,34334,1,25.00,25.00,25.00,0,0,0,8,8.00
0,34346,1,40.00,40.00,40.00,0,0,0,8,8.00
0,34348,2,30.00,32.00,28.00,0,0,0,8,8.00
0,34350,8,65.38,352.00,9.00,25,21,39,8,8.00
0,34352,6,68.83,262.00,10.00,41,31,41,8,8.00
0,34353,4,46.50,60.00,29.00,53,44,60,8,8.00
0,34354,17,36.18,74.00,8.00,24,17,61,8,8.00
0,34357,10,25.20,62.00,12.00,20,15,45,8,8.00
0,34371,4,72.75,131.00,28.00,89,43,131,8,8.00
0,34372,19,57.00,337.00,6.00,32,22,38,8,8.00
0,34373,5,56.40,92.00,16.00,72,24,92,8,8.00
0,34376,21,42.33,230.00,8.00,31,15,53,8,8.00
0,34379,1,386.00,386.00,386.00,0,0,0,8,8.00
0,34382,1,160.00,160.00,160.00,0,0,0,8,8.00
0,34383,33,53.30,624.00,9.00,23,13,45,8,8.00
0,34384,19,48.32,184.00,6.00,32,20,60,8,8.00
0,34413,3,42.67,75.00,17.00,0,0,0,8,8.00
0,34417,12,34.17,83.00,9.00,27,13,72,8,8.00
0,34452,7,31.71,56.00,13.00,43,20,53,8,8.00
